metric,rank,method,avg_value,avg_std,num_networks
edit_distance,1,polyphest_p70,0.8581344779357849,0.022656411626108482,12
edit_distance,2,polyphest_p50,0.8582968508331322,0.040586523046966166,11
edit_distance,3,polyphest_p90,0.8751646732837475,0.03526096724674524,15
edit_distance,4,grampa,0.8979580183111653,0.042664451606101994,20
edit_distance,5,mpsugar,1.183507734723843,0.03673572198736209,6
num_rets_diff,1,polyphest_p90,2.08,0.06632907686700827,15
num_rets_diff,2,polyphest_p70,2.4166666666666665,0.0,12
num_rets_diff,3,polyphest_p50,2.6363636363636362,0.0,11
num_rets_diff,4,mpsugar,3.533333333333333,0.3651483716701107,6
num_rets_diff,5,grampa,7.340000000000001,0.02236067977499788,20
ploidy_diff.dist,1,polyphest_p70,0.0,0.0,12
ploidy_diff.dist,2,polyphest_p50,0.0,0.0,11
ploidy_diff.dist,3,polyphest_p90,0.0,0.0,15
ploidy_diff.dist,4,grampa,0.8107993102618467,0.13105700434416617,20
ploidy_diff.dist,5,mpsugar,1.168809523809524,0.32136395391370687,6
ret_leaf_jaccard.dist,1,polyphest_p90,0.2984826152683296,0.011149147558070633,15
ret_leaf_jaccard.dist,2,polyphest_p70,0.3084108087679516,0.0,12
ret_leaf_jaccard.dist,3,polyphest_p50,0.3364481550195836,0.0,11
ret_leaf_jaccard.dist,4,mpsugar,0.7572354497354498,0.10214691706008742,6
ret_leaf_jaccard.dist,5,grampa,0.8010818534873156,0.10340997435187996,20
ret_sisters_jaccard.dist,1,polyphest_p70,0.3487973067313345,0.02894209613566696,12
ret_sisters_jaccard.dist,2,polyphest_p90,0.3719609053497942,0.03676874058999448,15
ret_sisters_jaccard.dist,3,polyphest_p50,0.3935083974667308,0.03278445049380483,11
ret_sisters_jaccard.dist,4,mpsugar,0.7674456908831909,0.09167187107399359,6
ret_sisters_jaccard.dist,5,grampa,0.8318202498700785,0.07652047015868788,20
